track_name,track_number,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,album_type,track_duration_min
Finest Boy,1,21,0,7,3,1,2,2.8
ADD,1,68,1,62,394628,1,2,2.62
LEGENDARY,1,25,0,9,36,1,2,2.57
Loader,1,37,0,22,178,6,2,2.15
Never Know What To Say,3,32,0,35,1803,14,0,2.76
I Didn't Need Him,1,27,0,10,60,1,2,3.61
Question,6,18,0,16,104,7,0,2.64
She´s in the Game (Brazilian Funk),1,13,1,3,4,1,2,2.49
Post Sex Clarity,8,78,0,77,1461346,14,0,4.36
Pretty & Petty,13,74,1,81,25953771,23,0,3.05
Psycho,1,44,0,52,21748,3,2,3.07
Pure Intoxication,7,27,0,18,232,12,0,2.55
Rush From You,1,49,1,49,8802,2,2,2.51
Safe (feat. Kehlani),8,75,1,81,25953771,23,0,2.96
Holy Sin,1,47,0,58,146969,1,2,2.42
I Kill Spiders,1,35,0,19,181,4,2,3.69
Magnet,3,71,1,81,25957976,23,0,2.97
Man Ray,1,31,0,15,1068,1,2,3.63
Can't Take My Eyes Off You,1,38,0,35,1843,1,2,2.26
DEPRESSED,1,69,1,75,12848260,1,2,2.3
ErrTime,16,69,1,81,25957976,23,0,2.44
Fly Before I Fall,3,31,0,22,1274,4,2,3.88
Get Ready To Feel Good,1,22,0,11,382,1,2,3.92
WHERE IS MY HUSBAND!,1,92,0,81,2853248,1,2,3.27
WHO,1,40,0,22,49,1,2,3.11
Wire,2,42,1,36,31236,3,2,2.95
You Left,1,40,0,22,227,1,2,3.97
I Am Nobody,1,54,0,50,3963,1,2,2.25
Search Party!,1,58,0,67,3134091,3,2,4.38
Shangri-La,1,39,0,62,225797,1,2,3.31
Red Shredded Paper,11,26,0,47,163172,13,0,4.17
Take My Hand,4,39,0,33,6678,4,2,3.22
CRAVE,1,52,0,53,19064,3,2,2.96
Creme Brulee,2,44,0,33,6685,4,2,2.95
Ghost Town,1,42,0,33,6683,4,2,3.08
Obssessed,1,17,1,12,390,1,2,3.0
Amor Infinito,1,17,0,4,276,2,2,2.62
Millionaire,1,47,1,33,319,1,2,3.01
Rise of the Machines,1,16,0,8,12,11,0,3.9
Silicon Heart,5,16,0,8,12,11,0,4.08
I Need Some Time,4,17,1,8,39,6,2,4.6
Falling Stars,1,43,1,30,1655,1,2,4.0
Eddie Kane - Radio Edit,8,10,0,16,2177,11,0,3.26
Funeral,1,41,0,44,1499,1,2,2.8
Seventeen,1,27,0,10,34,1,2,3.2
My Best,2,50,0,47,7071,9,0,2.88
Good Time Gone,1,53,0,34,103,1,2,3.4
irl,1,42,0,31,2956,1,2,2.57
TKO,4,49,1,47,7045,9,0,2.02
Aye Ma,1,40,1,22,32,1,2,1.69
Bak 2 Bak,1,41,0,33,1639,1,2,2.99
BASIC,1,33,1,15,39,1,2,2.13
Camera,6,79,0,88,122773292,13,0,3.59
Chorei por Aí,1,15,0,7,1022,1,2,2.97
Posso Até Não Te Dar Flores,1,85,1,75,282947,1,2,2.64
Voy a Brillar (Reggae),1,16,0,4,4,1,2,2.73
How It Goes,1,54,0,45,2752,1,2,2.05
Just Like Heaven - Live From Glastonbury,2,55,0,85,49083617,2,2,3.92
Friday I'm In Love - Live From Glastonbury,1,61,0,84,49050008,2,2,4.11
Engolindo a lua,1,30,0,20,1897,1,2,3.04
Dangerous Love,1,44,0,48,10272,3,2,2.81
Gettin' Older (feat. YoungBoy Never Broke Again),1,54,1,39,9729,1,2,2.78
best. day. ever.,1,47,0,36,5606,1,2,2.63
Bossa velha,1,28,0,12,44,14,0,3.38
Lonely Together,1,55,0,64,1211803,2,2,2.6
LOVE SONG,3,75,0,91,85008100,44,0,2.87
Rose Colored Glasses,3,33,0,20,696,4,2,3.57
The Dead Dance,1,84,0,88,42237551,1,2,3.8
The Beast,15,56,0,88,42237551,17,0,3.9
The Dead Dance,9,80,0,89,42275793,17,0,3.8
Vanish Into You,6,61,0,88,42256604,17,0,4.08
Die With A Smile,17,55,0,88,42237551,17,0,4.19
Disease,1,61,0,88,42237551,17,0,3.83
Don't Call Tonight,12,58,0,88,42256604,17,0,3.76
Garden Of Eden,3,62,0,88,42256604,17,0,3.99
Yonderer,1,37,0,19,267,1,2,3.47
Zombieboy,8,60,0,88,42256604,17,0,3.55
How Bad Do U Want Me,11,60,1,88,42237551,17,0,3.98
Kill For Love,13,66,0,88,42256604,17,0,4.11
Killah (feat. Gesaffelstein),7,59,1,88,42256604,17,0,3.51
Perfect Celebrity,4,60,0,89,42275793,17,0,3.82
Shadow Of A Man,14,58,0,88,42256604,17,0,3.32
LoveDrug,10,60,0,88,42237551,17,0,3.22
Machine,1,39,0,62,973349,4,2,2.67
Abracadabra,2,62,0,89,42275793,17,0,3.72
Blade Of Grass,16,55,0,88,42256604,17,0,4.28
